"","mix1$U$`u:ID`$Yield"
"H1",18.1136680970846
"H10",27.7894613612197
"H100",26.9120351828527
"H101",28.0698217781261
"H102",31.3843457720957
"H103",30.8032728752219
"H104",27.032615562555
"H105",21.8608120922411
"H106",36.4404728578231
"H107",36.0200709781332
"H108",21.711702730608
"H109",31.6622735902998
"H11",10.4960117619136
"H110",23.1473787179382
"H111",22.107563812319
"H112",18.6197748514989
"H113",24.8503145320368
"H114",23.3218988696706
"H115",26.8098990889502
"H116",18.7199233946313
"H117",27.4363088297078
"H118",24.9121483975513
"H119",19.8923444069717
"H12",22.5212483759492
"H120",26.3780795819862
"H121",25.7338921512529
"H122",27.2490942714568
"H123",31.5761202296533
"H124",11.8030259470135
"H125",24.5304685713166
"H126",22.6612819283463
"H127",26.2992038159245
"H128",38.6759765613631
"H129",9.71510579633562
"H13",23.6129300361559
"H130",35.1458577957073
"H131",14.5831370499037
"H14",2.36784544596326
"H15",4.53608150648559
"H16",-13.0487143405625
"H17",9.38462253183212
"H18",11.5528585923544
"H19",-6.03193725469364
"H2",9.06306154205865
"H20",25.6449408761971
"H21",28.8281125430772
"H22",20.6600820881291
"H23",23.2541832264274
"H24",26.7136621865808
"H25",27.0901088432454
"H26",24.8687339322553
"H27",26.097573636404
"H28",23.6303460766733
"H29",26.6982063561777
"H3",11.2312976025812
"H30",25.2585488214061
"H31",14.8399399534121
"H32",21.4788562428206
"H33",21.8184055246957
"H34",18.1966851471988
"H35",14.8569694143109
"H36",18.6874959932436
"H37",31.2386964376866
"H38",19.7461219107406
"H39",25.3829596765692
"H4",-6.35349824446694
"H40",19.9213663271293
"H41",19.8891069651733
"H42",21.9481037092641
"H43",31.4887081340754
"H44",25.9512429578095
"H45",26.1538911174077
"H46",18.2468911196301
"H47",27.4689224013431
"H48",19.3098739236452
"H49",14.6008187542653
"H5",-31.9568517919022
"H50",24.2147339463244
"H51",17.1780704330255
"H53",27.0644743106619
"H54",29.2205342475191
"H55",19.9754378837065
"H56",33.524949724499
"H57",25.3760316798809
"H58",15.0921572884489
"H59",25.8975878281303
"H6",-4.34978514900639
"H60",29.1614391585743
"H61",21.73117590744
"H62",23.2143114631032
"H63",26.9578150837896
"H64",28.5331995434851
"H65",28.1015859088818
"H66",26.5452923148984
"H67",32.3809070137303
"H68",21.4903070745547
"H69",21.6651863744105
"H7",-2.41513235396743
"H70",33.6289267833525
"H71",27.2111811216568
"H72",34.7408389695716
"H73",23.5987520352269
"H74",26.686334042271
"H75",26.7306326713954
"H76",27.7310767465735
"H77",28.5765545665585
"H78",22.8511592361251
"H79",29.9803724390768
"H8",0.874496393849053
"H80",32.9649019759074
"H81",30.4624321227311
"H82",28.7643464449197
"H83",27.3696166535882
"H84",26.1384748026621
"H85",22.5445992380632
"H86",25.2783320210029
"H87",40.0068731903511
"H88",18.1159278759285
"H89",21.7353959940882
"H9",-3.30203493121458
"H90",30.4541882799637
"H91",7.3079911520386
"H92",29.826147231979
"H93",32.790362989787
"H94",18.5118948962493
"H95",34.7931129191406
"H96",14.6199384202567
"H97",26.7890492479464
"H98",27.2446194174462
"H99",25.7364381287624
