ID Rep Moisture Yield NDVI1 NDVI2 NDVI3 NDVI4 NDVI5 NDVI6 NDVI7
1 H1 1 23 201.537952 0.816739979799951 0.900407843810433 0.900785607225278 0.889078728047736 0.811347160335914 0.495382420577277 0.848540015602526
2 H1 2 21.9 178.7827712 0.806761379091191 0.903702030078958 0.910470761192277 0.873758855061759 0.81255461255279 0.424913188952938 0.82644605871319
3 H2 1 21.8 159.6790824 0.831911475591442 0.903596188127649 0.896234810779651 0.879725446879144 0.825548998973374 0.419621680615127 0.838914413850863
4 H2 2 22.1 219.628144 0.772127445567221 0.880863562764247 0.915513296179341 0.864200621862843 0.780237988755336 0.404284240022833 0.831728716191862
5 H3 1 23.4 179.2170368 0.843778096888668 0.898129238103837 0.901968723885271 0.865298200975129 0.84040743923403 0.404789095320441 0.834792998668299
6 H3 2 22.2 141.1018144 0.831038097702883 0.89913381659465 0.907976528798868 0.842933548828971 0.83759844444512 0.379052722901458 0.817250611063111
7 H4 1 22.7 87.0932916 0.789945043984003 0.899040013410914 0.900791801385109 0.892621882562562 0.793997596154482 0.308138686415959 0.798340440949926
8 H4 2 26.1 86.0612796 0.69916173939186 0.817857059211814 0.864407870988662 0.74844499759891 0.697996039275504 0.267643411638627 0.743290042591958
9 H5 1 19.5 97.134842 0.755331277603318 0.865282939722133 0.851418083214781 0.81501709682938 0.759326913342806 0.329753789791658 0.81294313721008
10 H5 2 19.8 69.7743208 0.718439723730009 0.844728386794365 0.887506899067325 0.796200156677982 0.721430038678992 0.373504483575248 0.811100984716058
11 H6 1 18.1 152.070282 0.793046142508512 0.871869142994408 0.875711621558897 0.826102615595612 0.784241618991822 0.367546213266055 0.811607946898619
12 H6 2 19.1 117.6175976 0.733609997062444 0.81400820056249 0.867435995019106 0.755561027826354 0.730857135023615 0.393671072588306 0.82638714804528
13 H7 1 22.8 162.1851568 0.745727667996267 0.856264636986624 0.871373031396562 0.819937023224515 0.745622372448943 0.48306360261149 0.81346690170395
14 H7 2 21.1 118.27899 0.787267526559812 0.904887530315192 0.907108451139629 0.875099368929471 0.789865300652075 0.430645046233005 0.83029672018946
15 H8 1 25.7 150.7775844 0.691761205601344 0.841527323479158 0.862929941686751 0.822000226057693 0.692283294629535 0.411042851952877 0.809453245335883
16 H8 2 23.6 174.2482304 0.740485182256159 0.868782308958557 0.909039652830588 0.840036387937063 0.742468813121033 0.442225000171358 0.833215839151997
17 H9 1 NA NA 0.571599743549089 0.851979662177149 0.875494095667901 0.843440675551049 0.577057583765737 0.367905044725271 0.778894324471081
18 H9 2 24.7 81.8297148 0.549300978706723 0.746355920015997 0.817956332532578 0.649735165889575 0.55119403593341 0.204042079429864 0.805847358725718
19 H10 1 25.5 135.58702 0.815441641596058 0.899766992186048 0.906258546631314 0.886940755681863 0.804534650251147 0.378310169559953 0.845154781109232
