experiment_id,occurrence,plot_number,design_id,block_type,block_name,block_value,block_level_number,entry_id,design_x,design_y
56485987563,3321054,101,1,Replicate_Block,replicate,1,1,1,1,1
56485987563,3321054,102,1,Replicate_Block,replicate,1,1,2,2,1
56485987563,3321054,103,1,Replicate_Block,replicate,1,1,3,3,1
56485987563,3321054,104,1,Replicate_Block,replicate,1,1,4,4,1
56485987563,3321054,105,1,Replicate_Block,replicate,1,1,5,4,2
56485987563,3321054,106,1,Replicate_Block,replicate,1,1,6,3,2
56485987563,3321054,107,1,Replicate_Block,replicate,1,1,7,2,2
56485987563,3321054,108,1,Replicate_Block,replicate,1,1,8,1,2
56485987563,3321054,109,1,Replicate_Block,replicate,1,1,9,1,3
56485987563,3321054,110,1,Replicate_Block,replicate,1,1,10,2,3
56485987563,3321054,111,1,Replicate_Block,replicate,1,1,11,3,3
56485987563,3321054,112,1,Replicate_Block,replicate,1,1,12,4,3
56485987563,3321054,113,1,Replicate_Block,replicate,1,1,13,4,4
56485987563,3321054,114,1,Replicate_Block,replicate,1,1,14,3,4
56485987563,3321054,115,1,Replicate_Block,replicate,1,1,15,2,4
56485987563,3321054,116,1,Replicate_Block,replicate,1,1,16,1,4
56485987563,3321054,117,1,Replicate_Block,replicate,1,1,17,1,5
56485987563,3321054,118,1,Replicate_Block,replicate,1,1,18,2,5
56485987563,3321054,119,1,Replicate_Block,replicate,1,1,19,3,5
56485987563,3321054,120,1,Replicate_Block,replicate,1,1,20,4,5
56485987563,3321054,121,1,Replicate_Block,replicate,1,1,21,4,6
56485987563,3321054,122,1,Replicate_Block,replicate,1,1,22,3,6
56485987563,3321054,123,1,Replicate_Block,replicate,1,1,23,2,6
56485987563,3321054,124,1,Replicate_Block,replicate,1,1,24,1,6
56485987563,3321054,201,2,Replicate_Block,replicate,2,1,12,5,1
56485987563,3321054,202,2,Replicate_Block,replicate,2,1,24,6,1
56485987563,3321054,203,2,Replicate_Block,replicate,2,1,8,7,1
56485987563,3321054,204,2,Replicate_Block,replicate,2,1,17,8,1
56485987563,3321054,205,2,Replicate_Block,replicate,2,1,11,8,2
56485987563,3321054,206,2,Replicate_Block,replicate,2,1,7,7,2
56485987563,3321054,207,2,Replicate_Block,replicate,2,1,18,6,2
56485987563,3321054,208,2,Replicate_Block,replicate,2,1,4,5,2
56485987563,3321054,209,2,Replicate_Block,replicate,2,1,6,5,3
56485987563,3321054,210,2,Replicate_Block,replicate,2,1,14,6,3
56485987563,3321054,211,2,Replicate_Block,replicate,2,1,9,7,3
56485987563,3321054,212,2,Replicate_Block,replicate,2,1,3,8,3
56485987563,3321054,213,2,Replicate_Block,replicate,2,1,10,8,4
56485987563,3321054,214,2,Replicate_Block,replicate,2,1,15,7,4
56485987563,3321054,215,2,Replicate_Block,replicate,2,1,2,6,4
56485987563,3321054,216,2,Replicate_Block,replicate,2,1,21,5,4
56485987563,3321054,217,2,Replicate_Block,replicate,2,1,5,5,5
56485987563,3321054,218,2,Replicate_Block,replicate,2,1,20,6,5
56485987563,3321054,219,2,Replicate_Block,replicate,2,1,22,7,5
56485987563,3321054,220,2,Replicate_Block,replicate,2,1,13,8,5
56485987563,3321054,221,2,Replicate_Block,replicate,2,1,19,8,6
56485987563,3321054,222,2,Replicate_Block,replicate,2,1,16,7,6
56485987563,3321054,223,2,Replicate_Block,replicate,2,1,23,6,6
56485987563,3321054,224,2,Replicate_Block,replicate,2,1,1,5,6
56485987563,3321055,101,1,Replicate_Block,replicate,1,1,1,1,1
56485987563,3321055,102,1,Replicate_Block,replicate,1,1,2,2,1
56485987563,3321055,103,1,Replicate_Block,replicate,1,1,3,3,1
56485987563,3321055,104,1,Replicate_Block,replicate,1,1,4,4,1
